Source,Project Number,Revision,File Path,File Name,File Extension,File Size (bytes),Modification Date,Project Folder Name,Database Match,Project Name,RFP Number,RFP Issue Date,RFP Status,RFP Stage,Company,Contact,Package,Staff Name,Activity,RFP Created At,RFP Updated At,,,,,,,,,
DATABASE,23-96602,0,,,,,,,YES,Shoot the Chute,23-96602-FP,230403,Lost,Lost,company:SLG,contacts:f0itcziq0buolzzdzkkf,"Lighting, Video, Sound, SFX/Animatronics, Control Systems",Martin Robert,Sensory Technology Design,2025-06-25T13:27:11.797Z,2025-06-25T13:27:11.797Z,,,,,,,,,
FILE,23-96602,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96602 Shoot the Chute/01 Client Info/01 Pre Award/01 RFP/RFP - Ride concept & design for the ride experience.pdf,RFP - Ride concept & design for the ride experience.pdf,pdf,580613,24/03/2023 11:25,23-96602 Shoot the Chute,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-96603,0,,,,,,,YES,Khobar Grand Mosque,23-96603-FP,230502,Lost,Lost,company:AFN,contacts:1eh5ax6lp5kezba6blc9,Lighting,Martin Robert,Specialist Lighting Design and Consultancy,2025-06-25T13:27:35.601Z,2025-06-25T13:27:35.601Z,,,,,,,,,
FILE,23-96603,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96603 Khobar Grand Mosque/02 Proposal/e-23-96603-FP-01.pdf,e-23-96603-FP-01.pdf,pdf,145376,2/05/2023 9:07,23-96603 Khobar Grand Mosque,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-96604,0,,,,,,,YES,DockX,23-96604-FP,230508,Lost,Lost,company:KCC,contacts:t6s1857mu4frfmto1l7m,"Lighting, Video, Sound, Acoustics, Technologies",Martin Robert,Sensory Systems Design and Consultancy,2025-06-25T13:27:35.601Z,2025-06-25T13:27:35.601Z,,,,,,,,,
FILE,23-96604,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96604 DockX/02 Proposal/e-23-96604-FP-01.pdf,e-23-96604-FP-01.pdf,pdf,196523,8/05/2023 14:15,23-96604 DockX,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-96605,0,,,,,,,YES,Jumpoline,23-96605-FP,230508,Lost,Lost,company:KCC,contacts:t6s1857mu4frfmto1l7m,"Lighting, Video, Sound, Technologies",Martin Robert,Sensory Systems Design and Consultancy,2025-06-25T13:27:35.602Z,2025-06-25T13:27:35.602Z,,,,,,,,,
FILE,23-96605,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96605 Jumpoline/02 Proposal/e-23-96605-FP-01.pdf,e-23-96605-FP-01.pdf,pdf,175395,8/05/2023 14:15,23-96605 Jumpoline,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-96607,0,,,,,,,YES,HoH KSA,23-96607-FP,230726,Lost,Lost,company:HYP,contacts:zg9eeg62kl62xbxkidas,"Lighting, Video, Sound, Interactives, Atmospherics, Control Systems",Martin Robert,Technical Systems Design and Consultancy,2025-06-25T13:27:35.602Z,2025-06-25T13:27:35.602Z,,,,,,,,,
FILE,23-96607,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96607 HoH KSA/02 Proposal/e-23-96607-FP-01.pdf,e-23-96607-FP-01.pdf,pdf,176863,26/07/2023 12:51,23-96607 HoH KSA,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-97101,0,,,,,,,YES,Marina Island Financial District,23-97101-LI-FP,220102,Lost,Lost,company:PTG,contacts:9v0wbzd87364z4kpaude,Lighting,Martin Robert,Specialist Lighting Design and Consultancy,2025-06-25T13:27:35.602Z,2025-06-25T13:27:35.602Z,,,,,,,,,
FILE,23-97101,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97101 Marina Island/02 Proposal/e-23-97101-LI-FP-01.pdf,e-23-97101-LI-FP-01.pdf,pdf,154221,2/01/2023 11:27,23-97101 Marina Island,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-97102,0,,,,,,,YES,Wynn Marjan Island Integrated Resort,23-97102-FP,230119,Lost,Lost,company:WDD,contacts:jqthhfecmm72zspptia5,AV + Acoustics (Audio Visual and Acoustics),Martin Robert,Audio Visual and Acoustics Design and Consultancy,2025-06-25T13:28:08.559Z,2025-06-25T13:28:08.559Z,,,,,,,,,
FILE,23-97102,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97102 Wynn RAK/02 Proposal/e-23-97102-FP-01.pdf,e-23-97102-FP-01.pdf,pdf,175993,19/01/2023 10:48,23-97102 Wynn RAK,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-97105,0,,,,,,,YES,Tape Theatre Dubai,23-97105-FP,230523,Lost,Lost,company:SMT,contacts:3u76d75xc7lrng1ea9ff,Audio (specialist audio-only project),Andrew Hawkes,Audio Design and Consultancy,2025-06-25T13:28:08.560Z,2025-06-25T13:28:08.560Z,,,,,,,,,
FILE,23-97105,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97105 Tape Theatre/02 Proposal/e-23-97105-FP-01.pdf,e-23-97105-FP-01.pdf,pdf,139701,23/05/2023 13:22,23-97105 Tape Theatre,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-97106,0,,,,,,,YES,The Palm Fountain,23-97106-FP,230609,Lost,Lost,company:DIL,contacts:zbcb0y3llmz4gr6kk0om,AV and Lighting Control System,Martin Robert,Control System Design and Supervision,2025-06-25T13:28:08.560Z,2025-06-25T13:28:08.560Z,,,,,,,,,
FILE,23-97106,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97106 Palm Fountain/02 Proposal/e-23-97106-FP-01.pdf,e-23-97106-FP-01.pdf,pdf,172540,9/06/2023 16:17,23-97106 Palm Fountain,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,23-97107,0,,,,,,,YES,DAFZA Refurbishment,23-97107-FP,230621,Lost,Lost,company:PTG,contacts:nh05fb5o5zvlra5t75fp,Lighting (specialist lighting-only project),Martin Robert,Specialist Lighting Design and Consultancy,2025-06-25T13:28:08.560Z,2025-06-25T13:28:08.560Z,,,,,,,,,
FILE,23-97107,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97107 DAFZA Refurb/02 Proposal/e-23-97107-FP-01.pdf,e-23-97107-FP-01.pdf,pdf,145567,21/06/2023 15:54,23-97107 DAFZA Refurb,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
FILE,24-25101,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-25101 EEC Sports Arena/02 Proposal/yy-cccnn-FP-01.indd,yy-cccnn-FP-01.indd,indd,1662976,27/05/2024 12:46,24-25101 EEC Sports Arena,NO,,,,,,,,,,,,,,,,,,,,,
DATABASE,24-96603,0,,,,,,,YES,Marasi Gate Retail Block,24-96603-FP,240808,Lost,Lost,company:AFN,contacts:y5opwyedf8b0rs8qc3ar,Lighting,Martin Robert,Specialist Lighting Design and Consultancy,2025-06-25T13:28:45.875Z,2025-06-25T13:28:45.875Z,,,,,,,,,
FILE,24-96603,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-96603 Marasi Gate/02 Proposal/e-24-96603-FP-01.pdf,e-24-96603-FP-01.pdf,pdf,96528,8/08/2024 9:46,24-96603 Marasi Gate,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,24-96605,0,,,,,,,YES,Neom Trojena Mountain Observatory,24-96605-FP,240911,Awarded,Awarded,company:UA,contacts:zk5ruoxnlmlhhmn3l5ai,Specialist Video,Martin Robert,"Review, Design and Consultancy",2025-06-25T13:28:45.876Z,2025-06-25T13:28:45.876Z,,,,,,,,,
FILE,24-96605,1,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/24-96605 Observatory/02 Proposal/24-96605-FP-01.pdf,24-96605-FP-01.pdf,pdf,99143,12/09/2024 13:46,24-96605 Observatory,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,24-96606,0,,,,,,,YES,Jeddah Opera House,24-96606-FP,241018,Awarded,Awarded,company:MPME,contacts:4v8udcw6epjpmpet7qlu,Theatrical Lighting,Martin Robert,Specialist Lighting Technical Management,2025-06-25T13:28:45.876Z,2025-06-25T13:28:45.876Z,,,,,,,,,
FILE,24-96606,1,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/24-96606 JOH/02 Proposal/24-96606-FP-01.pdf,24-96606-FP-01.pdf,pdf,104439,18/10/2024 16:45,24-96606 JOH,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
FILE,24-97101,2,/mnt/e/emittiv/emittiv/01 Projects/11 Current/24-97101 HoH Supervision/02 Proposal/e-24-97101-FP-02.pdf,e-24-97101-FP-02.pdf,pdf,173928,11/03/2024 15:50,24-97101 HoH Supervision,NO,,,,,,,,,,,,,,,,,,,,,
DATABASE,24-97105,0,,,,,,,YES,MAF MiCC Kids,24-97105-FP,240215,Awarded,Awarded,company:SLG,contacts:f0itcziq0buolzzdzkkf,Specialist Lighting,Martin Robert,Design and Consultancy,2025-06-25T13:28:45.877Z,2025-06-25T13:28:45.877Z,,,,,,,,,
FILE,24-97105,1,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/24-97105 MAF MiCC Kids/02 Proposal/24-97105-FP-01.pdf,24-97105-FP-01.pdf,pdf,105433,15/02/2024 10:17,24-97105 MAF MiCC Kids,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,24-97109,0,,,,,,,YES,MAF MOE FEC,24-97109-FP,240708,Awarded,Awarded,company:SLG,contacts:f0itcziq0buolzzdzkkf,"Lighting, Video, Sound, Scent, Control Systems",Martin Robert,Sensory Systems Design and Consultancy,2025-06-25T13:28:45.877Z,2025-06-25T13:28:45.877Z,,,,,,,,,
FILE,24-97109,1,/mnt/e/emittiv/emittiv/01 Projects/11 Current/24-97109 MOE FEC v2/02 Proposal/24-97109-FP-01.pdf,24-97109-FP-01.pdf,pdf,107419,8/07/2024 13:22,24-97109 MOE FEC v2,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,25-96601,0,,,,,,,YES,Pit Stop Theatre,25-96601-FP,250523,Lost,Lost,company:TAIT,contacts:dzgj6pr0bq1z4g55jgwr,"Lighting, Video, Special FX",Martin Robert,"Lighting, Video, and SFX Design",2025-06-25T13:29:23.856Z,2025-06-25T13:29:23.856Z,,,,,,,,,
FILE,25-96601,1,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/25-96601 Pit Stop/02 Proposal/25-96601-FP-01.pdf,25-96601-FP-01.pdf,pdf,140568,23/05/2025 11:22,25-96601 Pit Stop,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,25-97101,0,,,,,,,YES,Shanghai Tang,25-97101-FP,250127,Awarded,Awarded,company:CHE,contacts:s1pk5mvl8z80le15vnp9,"Lighting, Audio (with optional Acoustics)",Martin Robert,Lighting and Audio Design,2025-06-25T13:29:23.856Z,2025-06-25T13:29:23.856Z,,,,,,,,,
FILE,25-97101,1,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/25-97101 Shanghai Tang/02 Proposal/25-97101-FP-01.pdf,25-97101-FP-01.pdf,pdf,96671,27/01/2025 9:31,25-97101 Shanghai Tang,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,25-97102,0,,,,,,,YES,Wynn Al Marjan Island,25-97102-FP,250521,Active,Under Review,company:WAMI,contacts:jqthhfecmm72zspptia5,"Specialist Lighting, Related Control Systems",Martin Robert,Specialist Lighting Sitewide Lighting Consultancy,2025-06-25T13:29:23.857Z,2025-06-25T13:29:23.857Z,,,,,,,,,
FILE,25-97102,1,/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97102 WAMI/02 Proposal/25-97102-FP-01.pdf,25-97102-FP-01.pdf,pdf,124093,21/05/2025 11:47,25-97102 WAMI,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,25-97103,0,,,,,,,YES,Aljada Block F + G,25-97103-FP,250417,Active,Sent,company:JZY,contacts:e616mb9ppo0514wfb0s5,Lighting (Home Automation excluded due to lack of information),Martin Robert,Specialist Lighting Design and Consultancy,2025-06-25T13:29:23.858Z,2025-06-25T13:29:23.858Z,,,,,,,,,
FILE,25-97103,1,/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97103 Aljada F+G/02 Proposal/25-97103-FP-01.pdf,25-97103-FP-01.pdf,pdf,106983,17/04/2025 14:21,25-97103 Aljada F+G,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,25-97104,0,,,,,,,YES,MAF Kids FEC,25-97104-FP,250508,Awarded,Awarded,company:SLG,contacts:f0itcziq0buolzzdzkkf,"Specialist Lighting, Related Control Systems",Martin Robert,Specialist Lighting Design and Consultancy,2025-06-25T13:29:23.859Z,2025-06-25T13:29:23.859Z,,,,,,,,,
FILE,25-97104,1,/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97104 MAF MiCC v2/02 Proposal/25-97104-FP-01.pdf,25-97104-FP-01.pdf,pdf,95177,8/05/2025 12:41,25-97104 MAF MiCC v2,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,25-97105,0,,,,,,,YES,Shanghai Tang Revision,25-97105-FP,250508,Awarded,Awarded,company:CHE,contacts:s1pk5mvl8z80le15vnp9,"Lighting, Audio",Martin Robert,Lighting and Audio Design,2025-06-25T13:29:23.859Z,2025-06-25T13:29:23.859Z,,,,,,,,,
FILE,25-97105,1,/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97105 Shanghai Tang v2/02 Proposal/25-97105-FP-01.pdf,25-97105-FP-01.pdf,pdf,99635,8/05/2025 15:32,25-97105 Shanghai Tang v2,POSSIBLE,,,,,,,,,,,,,,,,,,,,,
DATABASE,25-97106,0,,,,,,,YES,MAF MOE Kids FEC,25-97106-FP,250623,Sent,Sent,company:SLG,contacts:f0itcziq0buolzzdzkkf,"Lighting, Video, Sound, Scent, Control Systems",Martin Robert,Sensory Systems Design and Consultancy,2025-06-25T13:29:23.859Z,2025-06-25T13:29:23.859Z,,,,,,,,,
FILE,25-97106,1,/mnt/e/emittiv/emittiv/01 Projects/11 Current/25-97106 MAF MOE FEC v3/02 Proposal/25-97106-FP-01.pdf,25-97106-FP-01.pdf,pdf,113928,23/06/2025 12:02,25-97106 MAF MOE FEC v3,POSSIBLE,,,,,,,,,,,,FILE,23-96606,01,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/23-96606 KSA Pav Osaka/02 Proposal/e-yy-cccnn-FP-01.pdf,e-yy-cccnn-FP-01.pdf,pdf,232371,23/05/2023 18:51,23-96606 KSA Pav Osaka,NO
FILE,23-96608,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-96608 D10 Prefab/01 Client Info/01 Pre Award/1417 - RAM District 10 Modular Concrete/D10_ Prototype RFP-Final.pdf,D10_ Prototype RFP-Final.pdf,pdf,6688158,14/09/2023 16:58,23-96608 D10 Prefab,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97103,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97103 Dubai Safari/02 Proposal/e-yy-cccnn-FP-01.indd,e-yy-cccnn-FP-01.indd,indd,2301952,3/11/2022 8:00,23-97103 Dubai Safari,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97104,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97104 Fountain Redesign/01 Client Info/01 Pre Award/Tender Documents (DMS 149227)/1208 RFP to Long Form Consultancy Services Agreement (DMS 149227).pdf,1208 RFP to Long Form Consultancy Services Agreement (DMS 149227).pdf,pdf,188178,4/05/2023 14:50,23-97104 Fountain Redesign,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97108,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97108 Ciel Lobby/02 Proposal/00 Archive/e-23-97108-FP-01.pdf,e-23-97108-FP-01.pdf,pdf,121523,23/10/2023 15:14,23-97108 Ciel Lobby,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97108,02,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97108 Ciel Lobby/02 Proposal/e-23-97108-FP-02.pdf,e-23-97108-FP-02.pdf,pdf,121412,3/11/2023 19:28,23-97108 Ciel Lobby,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97109,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97109 Ciel VIP/01 Client Info/01 Pre Award/23-969 Ciel Tower Suites/TFG-C-AB-27-109 -RFP.pdf,TFG-C-AB-27-109 -RFP.pdf,pdf,2041900,16/10/2023 12:43,23-97109 Ciel VIP,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97109,02,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97109 Ciel VIP/02 Proposal/e-23-97109-FP-02.pdf,e-23-97109-FP-02.pdf,pdf,121168,3/11/2023 19:29,23-97109 Ciel VIP,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97110,01,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/23-97110 HoH Dxb Update/01 Client Info/02 Incoming/240325 Temp/LOD 400 SUBMISSIONS/OUT/1. ZONES/ZONE 1/PDF/240305_ATR-HOH-EL-DS-0001-Z1-ELECTRICAL/240305_ATR-HOH-EL-DS-0001-Z1-ECHOPARK/240305_ATR-HOH-EFP-DS-0001-Z1-1001-ECHOPARK-FIRE ALARM & EMERGENCY LIGHTING LAYOUT.pdf,240305_ATR-HOH-EFP-DS-0001-Z1-1001-ECHOPARK-FIRE ALARM & EMERGENCY LIGHTING LAYOUT.pdf,pdf,4814964,18/03/2024 0:01,23-97110 HoH Dxb Update,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97110,1000,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/23-97110 HoH Dxb Update/01 Client Info/02 Incoming/240325 Temp/LOD 400 SUBMISSIONS/OUT/FLS DRAWINGS ALL ZONES/FIRE PROTECTION/PDF/02-HOHDXB-JIN-FP-1000.pdf,02-HOHDXB-JIN-FP-1000.pdf,pdf,3453279,26/03/2024 22:01,23-97110 HoH Dxb Update,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97110,1001,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/23-97110 HoH Dxb Update/01 Client Info/02 Incoming/240325 Temp/LOD 400 SUBMISSIONS/OUT/FLS DRAWINGS ALL ZONES/FIRE PROTECTION/PDF/02-HOHDXB-JIN-FP-1001.pdf,02-HOHDXB-JIN-FP-1001.pdf,pdf,1460850,26/03/2024 22:01,23-97110 HoH Dxb Update,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97110,1002,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/23-97110 HoH Dxb Update/01 Client Info/02 Incoming/240325 Temp/LOD 400 SUBMISSIONS/OUT/FLS DRAWINGS ALL ZONES/FIRE PROTECTION/PDF/02-HOHDXB-JIN-FP-1002.pdf,02-HOHDXB-JIN-FP-1002.pdf,pdf,2290145,26/03/2024 22:01,23-97110 HoH Dxb Update,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97110,1003,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/23-97110 HoH Dxb Update/01 Client Info/02 Incoming/240325 Temp/LOD 400 SUBMISSIONS/OUT/FLS DRAWINGS ALL ZONES/FIRE PROTECTION/PDF/02-HOHDXB-JIN-FP-1003.pdf,02-HOHDXB-JIN-FP-1003.pdf,pdf,2914611,26/03/2024 22:01,23-97110 HoH Dxb Update,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97110,1102,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/23-97110 HoH Dxb Update/01 Client Info/02 Incoming/240325 Temp/LOD 400 SUBMISSIONS/OUT/FLS DRAWINGS ALL ZONES/FOR INFORMATION/FIRE FIGHTING/LAYOUTS/PDF/02-HOHDXB-JIN-FP-1102.pdf,02-HOHDXB-JIN-FP-1102.pdf,pdf,1655403,26/03/2024 22:01,23-97110 HoH Dxb Update,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97110,5400,/mnt/e/emittiv/emittiv/01 Projects/99 Completed/23-97110 HoH Dxb Update/01 Client Info/02 Incoming/240325 Temp/LOD 400 SUBMISSIONS/OUT/FLS DRAWINGS ALL ZONES/FOR INFORMATION/FIRE FIGHTING/TYPICAL DETAIL/02-HOHDXB-JIN-FP-5400.pdf,02-HOHDXB-JIN-FP-5400.pdf,pdf,699156,26/03/2024 22:01,23-97110 HoH Dxb Update,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97111,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97111 Dubai Island Promenade/02 Proposal/00 Archive/e-23-97111-FP-01.pdf,e-23-97111-FP-01.pdf,pdf,131716,6/11/2023 10:43,23-97111 Dubai Island Promenade,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97111,02,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97111 Dubai Island Promenade/02 Proposal/e-23-97111-FP-02.pdf,e-23-97111-FP-02.pdf,pdf,89965,21/11/2023 6:03,23-97111 Dubai Island Promenade,NO,,,,,,,,,,,,,,,,,,,,,
FILE,23-97112,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/23-97112 Marjan World Mixed Use/02 Proposal/e-yy-cccnn-FP-01.indd,e-yy-cccnn-FP-01.indd,indd,2387968,31/10/2023 23:20,23-97112 Marjan World Mixed Use,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-96601,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-96601 Dammam Water Park/02 Proposal/e-24-96601-FP-01.pdf,e-24-96601-FP-01.pdf,pdf,207926,7/02/2024 16:15,24-96601 Dammam Water Park,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-96602,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-96602 Intercon Jeddah/02 Proposal/e-24-96602-FP-01.pdf,e-24-96602-FP-01.pdf,pdf,163442,19/02/2024 6:50,24-96602 Intercon Jeddah,NO,,,,,,,,,,,,,,,,,,,,,
FILE,24-96604,01,/mnt/e/emittiv/emittiv/01 Projects/00 Inactive/24-96604 Exit 15/02 Proposal/yy-cccnn-FP-01.indd,yy-cccnn-FP-01.indd,indd,2314240,8/08/2024 5:56,24-96604 Exit 15,NO,,,,,,,,,,,,,,,,,,,,,
